Week Number,Date,Site,Stadium,Attendance,Kickoff Time,End of Game,Duration,Temperature,Wind,Weather,VIEW,Scoring Play
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"YSU - Gilbert,Jaden 1 yd run (Lastovka,Andrew kick), 11 plays, 69 yards, TOP 05:29"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"MER - Van Dyke,Evan 1 yd pass from Urena,Adam (Young,Max kick) 14 plays, 81 yards, TOP 08:08"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"YSU - Brungard,Beau 4 yd run (Lastovka,Andrew kick), 11 plays, 47 yards, TOP 04:42"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"YSU - Brungard,Beau 4 yd run (Lastovka,Andrew kick), 3 plays, 50 yards, TOP 00:47"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"YSU - Lastovka,Andrew 37 yd field goal 6 plays, 13 yards, TOP 03:04"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,"MER - Evans,Dylan 8 yd pass from Urena,Adam (Evans,Dylan pass) 15 plays, 84 yards, TOP 07:14"
1,08/28/2025,"Youngstown, Ohio",Arnold D. Stambaugh,7040,06:04 PM,09:14 PM,03:10,65,SW 10mph,Rain,Match History vs Youngstown St.,
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Davison,Rylan 0 yd pass from Urena,Adam (Young,Max kick) 7 plays, 83 yards, TOP 03:22"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"UNH - Tracey,Joshua 16 yd pass from Duffy,AJ (Quigley,Liam kick) 8 plays, 76 yards, TOP 03:22"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Trobel,Brian 6 yd run ( ), 5 plays, 75 yards, TOP 02:49"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Evans,Dylan 8 yd run (Young,Max kick), 9 plays, 86 yards, TOP 04:53"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Rodriguez,Ayron 17 yd run (Young,Max kick), 8 plays, 59 yards, TOP 04:07"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Trobel,Brian 2 yd run (Young,Max kick), 9 plays, 80 yards, TOP 04:26"
2,09/06/2025,"Erie, Pennsylvania",Saxon Stadium,777,12:01 PM,02:48 PM,02:47,63,,Sunny,Match History vs New Haven,"MU - Trobel,Brian 31 yd run (Young,Max kick), 4 plays, 54 yards, TOP 01:20"
