Week Number,Team,Started: Qtr,Started: Spot,Started: Time,Started: How,Ended: Spot,Ended: Time,Ended: How,Plays - Yds.,TOP
1,YSU,1st,YSU31,14:53,KO,MER0,09:24,TD,11-69,05:29
1,MER,1st,MER19,09:16,KO,YSU0,01:08,TD,14-81,08:08
1,YSU,1st,MER47,00:59,KO,MER0,11:17,TD,11-47,04:42
1,MER,2nd,MER25,11:17,KO,MER24,09:41,PUNT,3-(-1),01:36
1,YSU,2nd,YSU50,09:41,PUNT,MER0,08:54,TD,3-50,00:47
1,MER,2nd,MER35,08:47,KO,YSU31,07:14,FUMB,4-34,01:33
1,YSU,2nd,YSU31,07:14,FUMB,YSU37,06:21,PUNT,3-6,00:53
1,MER,2nd,MER20,06:21,PUNT,YSU11,01:55,FGA,11-69,04:26
1,YSU,2nd,YSU20,01:55,FGA,MER44,00:00,HALF,9-36,01:55
1,MER,3rd,MER23,14:54,KO,MER24,14:14,INT,2-1,00:40
1,YSU,3rd,MER32,14:14,INT,MER19,11:10,FG,6-13,03:04
1,MER,3rd,MER17,11:02,KO,YSU38,05:14,FUMB,11-45,05:48
1,YSU,3rd,YSU40,05:14,FUMB,MER34,02:49,DOWNS,5-26,02:25
1,MER,3rd,MER34,02:49,DOWNS,YSU44,00:46,DOWNS,6-22,02:03
1,YSU,3rd,YSU44,00:46,DOWNS,YSU38,14:13,PUNT,3-(-6),01:33
1,MER,4th,MER16,14:13,PUNT,YSU0,06:59,TD,15-84,07:14
1,YSU,4th,MER43,06:59,KO,YSU50,04:21,PUNT,3-(-7),02:38
1,MER,4th,MER22,04:21,PUNT,YSU36,02:04,INT,7-42,02:17
1,YSU,4th,YSU41,02:04,INT,MER27,00:00,HALF,8-32,02:04
2,MU,1st,MU 17,14:54,KO,UNH0,11:32,TD,7-83,03:22
2,UNH,1st,UNH24,11:27,KO,MU 0,08:05,TD,8-76,03:22
2,MU,1st,MU 25,08:05,KO,UNH0,05:16,TD,5-75,02:49
2,UNH,1st,UNH28,05:09,KO,UNH46,03:28,PUNT,4-18,01:41
2,MU,1st,MU 14,03:28,PUNT,UNH0,13:35,TD,9-86,04:53
2,UNH,2nd,UNH31,13:27,KO,UNH33,12:25,PUNT,2-2,01:02
2,MU,2nd,UNH50,12:25,PUNT,UNH22,09:12,DOWNS,5-28,03:13
2,UNH,2nd,UNH22,09:12,DOWNS,MU 41,05:20,DOWNS,9-37,03:52
2,MU,2nd,MU 41,05:20,DOWNS,UNH0,01:13,TD,8-59,04:07
2,MU,2nd,MU 39,00:31,PUNT,UNH35,00:00,HALF,4-26,00:31
2,UNH,2nd,UNH32,00:06,KO,UNH26,00:31,PUNT,3-(-6),00:25
2,UNH,3rd,UNH25,14:54,KO,MU 45,11:58,PUNT,8-30,02:56
2,MU,3rd,MU 20,11:58,PUNT,UNH0,07:32,TD,9-80,04:26
2,MU,3rd,MU 46,05:40,PUNT,UNH0,04:20,TD,4-54,01:20
2,UNH,3rd,UNH25,04:20,KO,UNH30,02:42,PUNT,3-5,01:38
2,MU,3rd,MU 22,02:42,PUNT,UNH0,12:20,TD,11-78,05:22
2,UNH,3rd,UNH12,00:27,KO,UNH13,05:40,PUNT,3-1,05:13
2,UNH,4th,UNH25,12:20,KO,MU 0,09:36,TD,7-75,02:44
2,UNH,4th,UNH37,05:33,INT,UNH41,04:56,INT,2-4,00:37
2,MU,4th,UNH31,04:56,INT,UNH8,00:00,FGA,9-23,04:56
2,MU,4th,MU 15,00:32,KO,UNH40,05:33,INT,7-45,05:01
3,SAC,1st,SAC26,14:56,KO,MER0,13:23,TD,4-74,01:33
3,MER,1st,MER25,13:23,KO,SAC17,08:46,FG,12-58,04:37
3,SAC,1st,SAC19,08:39,KO,SAC39,06:07,DOWNS,6-20,02:32
3,MER,1st,SAC39,06:07,DOWNS,SAC0,03:29,TD,6-39,02:38
3,SAC,1st,SAC25,03:21,KO,SAC36,02:44,FUMB,2-11,00:37
3,MER,1st,SAC36,02:44,FUMB,SAC41,01:07,PUNT,3-(-5),01:37
3,SAC,1st,SAC20,01:07,PUNT,MER50,13:38,PUNT,6-30,02:29
3,MER,2nd,MER15,13:38,PUNT,SAC0,06:02,TD,15-85,07:36
3,SAC,2nd,SAC22,05:54,KO,MER0,02:36,TD,9-78,03:18
3,MER,2nd,MER18,02:29,KO,SAC43,00:32,DOWNS,8-39,01:57
3,SAC,2nd,SAC43,00:32,DOWNS,MER0,00:23,TD,1-57,00:09
3,MER,2nd,MER8,00:19,KO,MER7,00:00,HALF,1-(-1),00:19
3,MER,3rd,MER26,14:55,KO,MER31,13:55,PUNT,3-5,01:00
3,SAC,3rd,SAC20,13:55,PUNT,MER0,10:58,TD,9-80,02:57
3,MER,3rd,MER16,10:55,KO,SAC0,03:52,TD,12-84,07:03
3,SAC,3rd,SAC47,03:44,KO,MER0,14:19,TD,10-53,04:25
3,MER,4th,MER25,14:19,KO,SAC7,07:59,FG,14-68,06:20
3,SAC,4th,SAC20,07:56,KO,MER0,02:48,TD,9-80,05:08
3,MER,4th,MER33,02:41,KO,MER41,01:55,INT,3-8,00:46
3,SAC,4th,MER43,01:55,INT,MER0,01:32,TD,3-43,00:23
3,MER,4th,MER25,01:32,KO,MER25,00:24,INT,4-0,01:08
3,SAC,4th,MER40,00:24,INT,MER41,00:00,HALF,1-(-1),00:24
4,MSU,1st,MSU8,14:55,KO,MER0,09:06,TD,10-92,05:49
4,MER,1st,MER25,09:06,KO,MSU43,04:57,PUNT,7-32,04:09
4,MSU,1st,MSU20,04:57,PUNT,MER4,12:06,FG,18-76,07:51
4,MER,2nd,MER18,12:06,KO,MSU17,05:15,FUMB,12-65,06:51
4,MSU,2nd,MSU17,05:15,FUMB,MER0,00:40,TD,11-83,04:35
4,MER,2nd,MER22,00:40,KO,MER20,00:00,DOWNS,4-(-2),00:40
4,MER,3rd,MER25,15:00,KO,MER34,12:47,PUNT,3-9,02:13
4,MSU,3rd,MSU28,12:47,PUNT,MER34,08:58,INT,8-38,03:49
4,MER,3rd,MER0,08:58,INT,MSU42,13:03,PUNT,19-58,10:55
4,MSU,4th,MSU20,13:03,PUNT,MSU28,11:12,PUNT,3-8,01:51
4,MER,4th,MER42,11:12,PUNT,MSU2,04:34,INT,14-56,06:38
4,MSU,4th,MSU20,04:34,INT,MER38,00:00,HALF,9-42,04:34
5,SDS,1st,SDS39,14:54,KO,MER18,10:03,FG,11-43,04:51
5,MER,1st,MER17,09:56,KO,MER18,07:55,PUNT,3-1,02:01
5,SDS,1st,SDS45,07:55,PUNT,MER0,04:20,TD,7-55,03:35
5,MER,1st,MER28,04:15,KO,MER28,04:02,INT,1-0,00:13
5,SDS,1st,MER19,04:02,INT,MER0,03:56,TD,1-19,00:06
