Week Number,Team,Started: Spot,Ended: Spot,Ended: How,drive_top,Date,Site,Temperature,Weather,Scoring Play,scoring_top,scoring_team
1,YSU,YSU31,MER0,TD,05:29,08/28/2025,"Youngstown, Ohio",65.0,Rain,"YSU - Gilbert,Jaden 1 yd run (Lastovka,Andrew kick), 11 plays, 69 yards, TOP 05:29",05:29,YSU
1,MER,MER19,YSU0,TD,08:08,08/28/2025,"Youngstown, Ohio",65.0,Rain,"MER - Van Dyke,Evan 1 yd pass from Urena,Adam (Young,Max kick) 14 plays, 81 yards, TOP 08:08",08:08,MER
1,YSU,MER47,MER0,TD,04:42,08/28/2025,"Youngstown, Ohio",65.0,Rain,"YSU - Brungard,Beau 4 yd run (Lastovka,Andrew kick), 11 plays, 47 yards, TOP 04:42",04:42,YSU
1,MER,MER25,MER24,PUNT,01:36,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,YSU,YSU50,MER0,TD,00:47,08/28/2025,"Youngstown, Ohio",65.0,Rain,"YSU - Brungard,Beau 4 yd run (Lastovka,Andrew kick), 3 plays, 50 yards, TOP 00:47",00:47,YSU
1,MER,MER35,YSU31,FUMB,01:33,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,YSU,YSU31,YSU37,PUNT,00:53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,MER,MER20,YSU11,FGA,04:26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,YSU,YSU20,MER44,HALF,01:55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,MER,MER23,MER24,INT,00:40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,YSU,MER32,MER19,FG,03:04,08/28/2025,"Youngstown, Ohio",65.0,Rain,"YSU - Lastovka,Andrew 37 yd field goal 6 plays, 13 yards, TOP 03:04",03:04,YSU
1,MER,MER17,YSU38,FUMB,05:48,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,YSU,YSU40,MER34,DOWNS,02:25,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,MER,MER34,YSU44,DOWNS,02:03,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,YSU,YSU44,YSU38,PUNT,01:33,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,MER,MER16,YSU0,TD,07:14,08/28/2025,"Youngstown, Ohio",65.0,Rain,"MER - Evans,Dylan 8 yd pass from Urena,Adam (Evans,Dylan pass) 15 plays, 84 yards, TOP 07:14",07:14,MER
1,YSU,MER43,YSU50,PUNT,02:38,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,MER,MER22,YSU36,INT,02:17,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,YSU,YSU41,MER27,HALF,02:04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,MU,MU 17,UNH0,TD,03:22,09/06/2025,"Erie, Pennsylvania",63.0,Sunny,"MU - Davison,Rylan 0 yd pass from Urena,Adam (Young,Max kick) 7 plays, 83 yards, TOP 03:22",03:22,MU
2,UNH,UNH24,MU 0,TD,03:22,09/06/2025,"Erie, Pennsylvania",63.0,Sunny,"UNH - Tracey,Joshua 16 yd pass from Duffy,AJ (Quigley,Liam kick) 8 plays, 76 yards, TOP 03:22",03:22,UNH
2,MU,MU 25,UNH0,TD,02:49,09/06/2025,"Erie, Pennsylvania",63.0,Sunny,"MU - Trobel,Brian 6 yd run ( ), 5 plays, 75 yards, TOP 02:49",02:49,MU
2,UNH,UNH28,UNH46,PUNT,01:41,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,MU,MU 14,UNH0,TD,04:53,09/06/2025,"Erie, Pennsylvania",63.0,Sunny,"MU - Evans,Dylan 8 yd run (Young,Max kick), 9 plays, 86 yards, TOP 04:53",04:53,MU
2,UNH,UNH31,UNH33,PUNT,01:02,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,MU,UNH50,UNH22,DOWNS,03:13,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,UNH,UNH22,MU 41,DOWNS,03:52,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,MU,MU 41,UNH0,TD,04:07,09/06/2025,"Erie, Pennsylvania",63.0,Sunny,"MU - Rodriguez,Ayron 17 yd run (Young,Max kick), 8 plays, 59 yards, TOP 04:07",04:07,MU
2,MU,MU 39,UNH35,HALF,00:31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,UNH,UNH32,UNH26,PUNT,00:25,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,UNH,UNH25,MU 45,PUNT,02:56,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,MU,MU 20,UNH0,TD,04:26,09/06/2025,"Erie, Pennsylvania",63.0,Sunny,"MU - Trobel,Brian 2 yd run (Young,Max kick), 9 plays, 80 yards, TOP 04:26",04:26,MU
2,MU,MU 46,UNH0,TD,01:20,09/06/2025,"Erie, Pennsylvania",63.0,Sunny,"MU - Trobel,Brian 31 yd run (Young,Max kick), 4 plays, 54 yards, TOP 01:20",01:20,MU
2,UNH,UNH25,UNH30,PUNT,01:38,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,MU,MU 22,UNH0,TD,05:22,09/06/2025,"Erie, Pennsylvania",63.0,Sunny,"MU - Wilson,Ashton 1 yd pass from Urena,Adam (Young,Max kick) 11 plays, 78 yards, TOP 05:22",05:22,MU
2,UNH,UNH12,UNH13,PUNT,05:13,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,UNH,UNH25,MU 0,TD,02:44,09/06/2025,"Erie, Pennsylvania",63.0,Sunny,"UNH - Duffy,AJ 1 yd run (Quigley,Liam kick), 7 plays, 75 yards, TOP 02:44",02:44,UNH
